"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"37000";"Controladoria-Geral da União";"37000";"Controladoria-Geral da União - Unidades com vínculo direto";"370001";"DIRETORIA DE GESTAO INTERNA(CGU)";"Receitas de Capital";"Operações de Crédito";"Operações de crédito - mercado interno";"TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"103883676,00";"0,00";"0,00";"0,00";"20/01/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"56324,00";"0,00";"10/03/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"1031025,52";"0,00";"31/01/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"92412,64";"0,00";"20/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"337114,55";"0,00";"31/05/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"107999,04";"0,00";"20/03/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"32638,44";"0,00";"20/04/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"41322,56";"0,00";"10/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"43239,74";"0,00";"10/07/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"42519,27";"0,00";"10/09/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"769619,40";"0,00";"31/03/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"8122630,00";"0,00";"61120,02";"1,00";"20/01/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"20229,20";"0,00";"10/05/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"56674,36";"0,00";"20/06/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"27916,19";"0,00";"10/08/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"582236,99";"0,00";"31/07/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"40978,64";"0,00";"10/06/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"42129,66";"0,00";"20/07/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"840667,85";"0,00";"30/04/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"931781,63";"0,00";"29/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"64950,08";"0,00";"20/05/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"80694,74";"0,00";"20/08/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"57530,93";"0,00";"10/01/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"387259,01";"0,00";"30/06/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"42602,38";"0,00";"10/04/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma Agrária";"373001";"DPTO. DE ADMINISTRACAO FINANCEIRA-DAF - INCRA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"CONTRIBUIÇÃO INDUSTRIAL RURAL-DIVIDA ATIVA";"0,00";"0,00";"1569181,37";"0,00";"31/08/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"138,40";"0,00";"13/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"67,92";"0,00";"20/04/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-MULTAS E JUROS";"0,00";"0,00";"6,14";"0,00";"14/07/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"3892,97";"0,00";"08/09/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-MULTAS E JUROS";"0,00";"0,00";"2,93";"0,00";"18/08/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"781,24";"0,00";"01/09/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"689,86";"0,00";"09/04/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"2018,97";"0,00";"04/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"1994,10";"0,00";"16/03/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"20792,17";"0,00";"14/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"1986,90";"0,00";"03/01/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22211";"Companhia Nacional de Abastecimento";"135100";"COMPANHIA NACIONAL DE ABASTECIMENTO";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"147,72";"0,00";"11/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"881,77";"0,00";"06/04/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"7886,10";"0,00";"05/06/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22211";"Companhia Nacional de Abastecimento";"135100";"COMPANHIA NACIONAL DE ABASTECIMENTO";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-MULTAS E JUROS";"0,00";"0,00";"4,75";"0,00";"19/02/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-MULTAS E JUROS";"0,00";"0,00";"2,47";"0,00";"25/03/2020";"2020"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22211";"Companhia Nacional de Abastecimento";"135100";"COMPANHIA NACIONAL DE ABASTECIMENTO";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";"98,00";"0,00";"06/02/2020";"2020"
